"Source:","K:\Personal\Steve\KiCadProjects\CLCD\CLCD-VDC.kicad_sch"
"Date:","2022-07-02 11:38:55 AM"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","100"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"J32, ","1","VDC Clock","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"MT1, ","1","Piezo","Speaker","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","Speaker",""
"Q1, Q2, Q3, Q4, Q5, ","5","2N3904","2N3904","Package_TO_SOT_THT:TO-92_Inline","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",""
"R1, R5, R7, ","3","1K","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor",""
"R2, R3, R4, R6, R8, ","5","4K7","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor",""
"R9, ","1","100K","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor",""
"R10, ","1","10K","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor",""
"RN1, RN2, ","2","10K","R_Network08_US","Resistor_THT:R_Array_SIP9","8 resistor network, star topology, bussed resistors, small US symbol",""
"RN3, ","1","CPU pullups","R_Network04","Resistor_THT:R_Array_SIP5","4 resistor network, star topology, bussed resistors, small symbol",""
"SW1, ","1","RESET","SW_Push","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","Push button switch, generic, two pins",""
"SW2, ","1","SW_DPST","SW_DPST","Button_Switch_THT:SW_Push_2P1T_Toggle_CK_PVA1xxH2xxxxxxV2","Double Pole Single Throw (DPST) Switch",""
"U1, ","1","74HC14","74HC14","Package_DIP:DIP-14_W7.62mm_LongPads","Hex inverter schmitt trigger",""
"U2, U3, ","2","74HC165","74HC165","Package_DIP:DIP-16_W7.62mm_LongPads","Shift Register, 8-bit, Parallel Load",""
"U5, ","1","HM628512A","HM628512A-superpet-rescue","Package_DIP:DIP-32_W15.24mm_LongPads","",""
"U6, U13, ","2","W65C22NxPL","W65C22NxPL","Package_LCC:PLCC-44_THT-Socket","W65C22N CMOS Versatile Interface Adapter (VIA), 20-pin I/O, 2 Timer/Counters, NMOS-Compatible, PLCC-44",""
"U7, ","1","W65C02SxPL","W65C02SxPL","Package_LCC:PLCC-44_THT-Socket","W65C02S 8-bit CMOS General Purpose Microprocessor, PLCC-44",""
"U8, ","1","74LS393","74LS393","Package_DIP:DIP-14_W7.62mm_LongPads","Dual BCD 4-bit counter",""
"U9, ","1","EPM7128S","EPM7128S-superpet-rescue","Package_LCC:PLCC-84_THT-Socket","",""
"U10, ","1","74HC374","74HC374","Package_DIP:DIP-20_W7.62mm_LongPads","8-bit Register, 3-state outputs",""
"U11, ","1","27C080","27C080","Package_DIP:DIP-32_W15.24mm_LongPads","OTP EPROM 8 MiBit (1 Mi x 8)",""
"U14, ","1","msm58321","msm58321","Package_DIP:DIP-16_W7.62mm_LongPads","Realtime Clock",""
"U15, ","1","74LS573","74LS573","Package_DIP:DIP-20_W7.62mm_LongPads","8-bit Latch 3-state outputs",""
"U16, ","1","74LS244","74LS244","Package_DIP:DIP-20_W7.62mm_LongPads","Octal Buffer and Line Driver With 3-State Output, active-low enables, non-inverting outputs",""
"U17, ","1","27C512","27C512","Package_DIP:DIP-28_W15.24mm_LongPads","",""
"U18, ","1","8563","8563","Package_DIP:DIP-48_W15.24mm_LongPads","",""
"U19, ","1","6551","6551-superpet-rescue","Package_DIP:DIP-28_W15.24mm_LongPads","",""
"U20, ","1","IDT7007PLCC","IDT7007PLCC","Package_LCC:PLCC-68_THT-Socket","",""
"U21, ","1","MAX238","MAX238","Package_DIP:DIP-24_W7.62mm_LongPads","",""
"U22, ","1","74LS04","74LS04","Package_DIP:DIP-14_W7.62mm_LongPads","Hex Inverter",""
"U23, ","1","UM61512A","UM61512A","Package_DIP:DIP-32_W7.62mm","",""
"X1, X10, ","2","CXO_DIP8","CXO_DIP8","Oscillator:Oscillator_DIP-8","Crystal Clock Oscillator, DIP8-style metal package",""
"X2, ","1","32.768kHz, HC49U","Crystal-superpet-rescue","Crystal:Crystal_HC49-U_Vertical","",""
"X3, ","1","1.8432 MHz, HC49U","Crystal-superpet-rescue","Crystal:Crystal_HC49-U_Vertical","",""
